from,to,weight
UVDL,LK,2
UVDL,NR,1
UVDL,SW,1
UVDL,CS,1
UVDL,CL,0
UVDL,KS,0
UVDL,LM,0
UVDL,KD,0
UVDL,EL,0
UVDL,AB,0
UVDL,FT,0
UVDL,AM,0
UVDL,AGL,0
UVDL,ER,0
UVDL,RH,0
UVDL,CM,0
UVDL,KP,0
UVDL,RK,1
UVDL,CLa,0
UVDL,SB,0
UVDL,CH,0
UVDL,MW,0
LK,NR,1
LK,SW,1
LK,CS,1
LK,CL,0
LK,KS,0
LK,LM,0
LK,KD,0
LK,EL,0
LK,AB,0
LK,FT,0
LK,AM,0
LK,AGL,0
LK,ER,0
LK,RH,1
LK,CM,1
LK,KP,1
LK,RK,1
LK,CLa,2
LK,SB,0
LK,CH,0
LK,MW,0
NR,SW,1
NR,CS,1
NR,CL,0
NR,KS,0
NR,LM,0
NR,KD,0
NR,EL,0
NR,AB,0
NR,FT,0
NR,AM,0
NR,AGL,0
NR,ER,0
NR,RH,0
NR,LK,0
NR,CM,0
NR,KP,0
NR,RK,1
NR,CLa,0
NR,SB,0
NR,CH,0
NR,MW,0
SW,CS,1
SW,CL,0
SW,KS,0
SW,LM,0
SW,KD,0
SW,EL,0
SW,AB,0
SW,FT,0
SW,AM,0
SW,AGL,0
SW,ER,0
SW,RH,0
SW,CM,0
SW,KP,0
SW,RK,0
SW,CLa,0
SW,SB,0
SW,CH,0
SW,MW,0
CS,CL,0
CS,KS,0
CS,LM,0
CS,KD,0
CS,EL,0
CS,AB,0
CS,FT,0
CS,AM,0
CS,AGL,0
CS,ER,0
CS,RH,0
CS,CM,0
CS,KP,0
CS,RK,0
CS,CLa,0
CS,SB,0
CS,CH,0
CS,MW,0
CL,KS,1
CL,LM,1
CL,KD,1
CL,EL,1
CL,AB,0
CL,FT,0
CL,AM,0
CL,AGL,2
CL,ER,0
CL,RH,0
CL,CM,0
CL,KP,0
CL,RK,0
CL,CLa,0
CL,SB,0
CL,CH,0
CL,MW,0
KS,LM,1
KS,KD,1
KS,EL,1
KS,AB,0
KS,FT,0
KS,AM,0
KS,AGL,0
KS,ER,0
KS,RH,0
KS,CM,0
KS,KP,0
KS,RK,0
KS,CLa,0
KS,SB,0
KS,CH,0
KS,MW,0
LM,KD,1
LM,EL,1
LM,AB,0
LM,FT,0
LM,AM,0
LM,AGL,0
LM,ER,0
LM,RH,0
LM,CM,0
LM,KP,0
LM,RK,0
LM,CLa,0
LM,SB,0
LM,CH,0
LM,MW,0
KD,EL,1
KD,AB,0
KD,FT,0
KD,AM,0
KD,AGL,0
KD,ER,0
KD,RH,0
KD,CM,0
KD,KP,0
KD,RK,0
KD,CLa,0
KD,SB,0
KD,CH,0
KD,MW,0
EL,AB,0
EL,FT,0
EL,AM,0
EL,AGL,0
EL,ER,0
EL,RH,0
EL,CM,0
EL,KP,0
EL,RK,0
EL,CLa,0
EL,SB,0
EL,CH,0
EL,MW,0
AB,FT,1
AB,AM,1
AB,AGL,1
AB,ER,1
AB,RH,2
AB,CM,0
AB,KP,0
AB,RK,0
AB,CLa,0
AB,SB,0
AB,CH,0
AB,MW,0
FT,AM,1
FT,AGL,1
FT,ER,1
FT,RH,0
FT,CM,0
FT,KP,0
FT,RK,0
FT,CLa,0
FT,SB,0
FT,CH,0
FT,MW,0
AM,AGL,1
AM,ER,1
AM,RH,0
AM,CM,0
AM,KP,0
AM,RK,0
AM,CLa,0
AM,SB,0
AM,CH,0
AM,MW,0
AGL,ER,1
AGL,RH,0
AGL,CM,0
AGL,KP,0
AGL,RK,0
AGL,CLa,0
AGL,SB,0
AGL,CH,0
AGL,MW,0
ER,RH,0
ER,CM,0
ER,KP,0
ER,RK,0
ER,CLa,0
ER,SB,0
ER,CH,0
ER,MW,0
RH,CM,1
RH,KP,1
RH,RK,1
RH,CLa,0
RH,SB,0
RH,CH,0
RH,MW,0
CM,KP,1
CM,RK,1
CM,CLa,0
CM,SB,0
CM,CH,0
CM,MW,0
KP,RK,1
KP,CLa,0
KP,SB,0
KP,CH,0
KP,MW,0
RK,CLa,0
RK,SB,0
RK,CH,0
RK,MW,0
CLa,SB,1
CLa,CH,1
CLa,MW,1
SB,CH,1
SB,MW,1
CH,MW,1
