from,to,weight
UVDL,LK,2
UVDL,NR,1
UVDL,SW,1
UVDL,CS,1
UVDL,CL,
UVDL,KS,
UVDL,LM,
UVDL,KD,
UVDL,EL,
UVDL,AB,
UVDL,FT,
UVDL,AM,
UVDL,AGL,
UVDL,ER,
UVDL,RH,
UVDL,CM,
UVDL,KP,
UVDL,RK,1
UVDL,CLa,
UVDL,SB,
UVDL,CH,
UVDL,MW,
LK,NR,1
LK,SW,1
LK,CS,1
LK,CL,
LK,KS,
LK,LM,
LK,KD,
LK,EL,
LK,AB,
LK,FT,
LK,AM,
LK,AGL,
LK,ER,
LK,RH,1
LK,CM,1
LK,KP,1
LK,RK,1
LK,CLa,2
LK,SB,
LK,CH,
LK,MW,
NR,SW,1
NR,CS,1
NR,CL,
NR,KS,
NR,LM,
NR,KD,
NR,EL,
NR,AB,
NR,FT,
NR,AM,
NR,AGL,
NR,ER,
NR,RH,
NR,LK,
NR,CM,
NR,KP,
NR,RK,1
NR,CLa,
NR,SB,
NR,CH,
NR,MW,
SW,CS,1
SW,CL,
SW,KS,
SW,LM,
SW,KD,
SW,EL,
SW,AB,
SW,FT,
SW,AM,
SW,AGL,
SW,ER,
SW,RH,
SW,CM,
SW,KP,
SW,RK,
SW,CLa,
SW,SB,
SW,CH,
SW,MW,
CS,CL,
CS,KS,
CS,LM,
CS,KD,
CS,EL,
CS,AB,
CS,FT,
CS,AM,
CS,AGL,
CS,ER,
CS,RH,
CS,CM,
CS,KP,
CS,RK,
CS,CLa,
CS,SB,
CS,CH,
CS,MW,
CL,KS,1
CL,LM,1
CL,KD,1
CL,EL,1
CL,AB,
CL,FT,
CL,AM,
CL,AGL,2
CL,ER,
CL,RH,
CL,CM,
CL,KP,
CL,RK,
CL,CLa,
CL,SB,
CL,CH,
CL,MW,
KS,LM,1
KS,KD,1
KS,EL,1
KS,AB,
KS,FT,
KS,AM,
KS,AGL,
KS,ER,
KS,RH,
KS,CM,
KS,KP,
KS,RK,
KS,CLa,
KS,SB,
KS,CH,
KS,MW,
LM,KD,1
LM,EL,1
LM,AB,
LM,FT,
LM,AM,
LM,AGL,
LM,ER,
LM,RH,
LM,CM,
LM,KP,
LM,RK,
LM,CLa,
LM,SB,
LM,CH,
LM,MW,
KD,EL,1
KD,AB,
KD,FT,
KD,AM,
KD,AGL,
KD,ER,
KD,RH,
KD,CM,
KD,KP,
KD,RK,
KD,CLa,
KD,SB,
KD,CH,
KD,MW,
EL,AB,
EL,FT,
EL,AM,
EL,AGL,
EL,ER,
EL,RH,
EL,CM,
EL,KP,
EL,RK,
EL,CLa,
EL,SB,
EL,CH,
EL,MW,
AB,FT,1
AB,AM,1
AB,AGL,1
AB,ER,1
AB,RH,2
AB,CM,
AB,KP,
AB,RK,
AB,CLa,
AB,SB,
AB,CH,
AB,MW,
FT,AM,1
FT,AGL,1
FT,ER,1
FT,RH,
FT,CM,
FT,KP,
FT,RK,
FT,CLa,
FT,SB,
FT,CH,
FT,MW,
AM,AGL,1
AM,ER,1
AM,RH,
AM,CM,
AM,KP,
AM,RK,
AM,CLa,
AM,SB,
AM,CH,
AM,MW,
AGL,ER,1
AGL,RH,
AGL,CM,
AGL,KP,
AGL,RK,
AGL,CLa,
AGL,SB,
AGL,CH,
AGL,MW,
ER,RH,
ER,CM,
ER,KP,
ER,RK,
ER,CLa,
ER,SB,
ER,CH,
ER,MW,
RH,CM,1
RH,KP,1
RH,RK,1
RH,CLa,
RH,SB,
RH,CH,
RH,MW,
CM,KP,1
CM,RK,1
CM,CLa,
CM,SB,
CM,CH,
CM,MW,
KP,RK,1
KP,CLa,
KP,SB,
KP,CH,
KP,MW,
RK,CLa,
RK,SB,
RK,CH,
RK,MW,
CLa,SB,1
CLa,CH,1
CLa,MW,1
SB,CH,1
SB,MW,1
CH,MW,1
